n,method,coverage,avg_length,reject_rate,mean_tau_hat,sd_tau_hat
500,Fixed,0.8896666666666667,0.7839855938160217,0.11033333333333334,0.0026540681438755147,0.24575042198182484
500,SN,0.9416666666666667,0.9308995991205138,0.058333333333333334,0.0026540681438755147,0.24575042198182484
2000,Fixed,0.8903333333333333,0.39199279690801087,0.10966666666666666,-0.002839667366128046,0.12435927236163466
2000,SN,0.9506666666666667,0.47360938343829645,0.04933333333333333,-0.002839667366128046,0.12435927236163466
