n,method,coverage,mcse,avg_len
500,Fixed,0.902,0.013296315279053816,0.8263933764060822
500,SN,0.956,0.009172131704244116,0.988638641025645
2000,Fixed,0.878,0.014636666287102402,0.39698653704197523
2000,SN,0.946,0.010107818755794947,0.47517063667161685
