n,method,regime,coverage,mcse,avg_len,count
500,Fixed,high,0.980544747081712,0.008615601189736964,0.8263933764060821,257
500,Fixed,low,0.8189300411522634,0.024702645503235077,0.8263933764060823,243
500,SN,high,0.953307392996109,0.013160548203173722,0.743509938681912,257
500,SN,low,0.9588477366255144,0.012742908072597769,1.2478899846566713,243
2000,Fixed,high,0.9580152671755725,0.012390284151361682,0.39698653704197523,262
2000,Fixed,low,0.7899159663865546,0.026405749026605797,0.3969865370419753,238
2000,SN,high,0.9351145038167938,0.015217929432572391,0.35704516024896527,262
2000,SN,low,0.957983193277311,0.01300474940319837,0.605207925842771,238
