n,method,coverage,mcse,avg_len
500,Fixed,0.966,0.008104813384649892,0.7454412937920365
500,SN,0.966,0.008104813384649892,0.7521592944245047
2000,Fixed,0.942,0.010453324829928518,0.36821311703130616
2000,SN,0.942,0.010453324829928518,0.36774590602714874
