n,method,coverage,mcse,avg_len,bias,rmse
500,SN-AIPW,0.954,0.009368457717255283,0.4343135653488598,0.0033072221594887033,0.11249309135681199
500,SN-IPW,0.956,0.009172131704244116,0.5298467394241705,-0.003796704722188635,0.13808493562081786
500,SN-Oracle,0.952,0.009559916317625384,0.42178385423500736,0.0037266944948671295,0.10875045877969629
500,Leaky-AIPW,0.846,0.016142118820031033,0.40895466058939733,0.011522397011574743,0.1505115227561757
2000,SN-AIPW,0.954,0.009368457717255283,0.20494408464830485,0.0009187020523606826,0.05205665520542634
2000,SN-IPW,0.956,0.009172131704244116,0.2540176908004957,3.337099669064569e-05,0.06498624664565383
2000,SN-Oracle,0.954,0.009368457717255283,0.20407548501082823,0.0008638304715879115,0.051869167105367646
2000,Leaky-AIPW,0.936,0.01094568408095172,0.19802206012018264,0.0010634099957133713,0.05377516943565664
