n,method,regime,coverage,avg_length,reject_rate,count
500,Fixed,high,0.9645901639344262,0.7839855938160216,0.03540983606557377,1525
500,Fixed,low,0.8122033898305084,0.7839855938160217,0.18779661016949153,1475
500,SN,high,0.9416393442622951,0.7140486378383237,0.058360655737704915,1525
500,SN,low,0.9416949152542373,1.155101440446168,0.05830508474576271,1475
2000,Fixed,high,0.9711796246648794,0.39199279690801087,0.028820375335120642,1492
2000,Fixed,low,0.8103448275862069,0.3919927969080108,0.1896551724137931,1508
2000,SN,high,0.9510723860589813,0.354242459355117,0.048927613941018765,1492
2000,SN,low,0.9502652519893899,0.5917098149582591,0.04973474801061008,1508
